Character,x,y,z
Delphox,0.62738156,-8.592981,8.435428
Cramorant,27.280693,18.248726,0.9056034
Eldegoss,-0.27212963,10.801073,-24.748434
Falinks,-12.901227,-12.705991,31.752232
Duraludon,6.6286225,-4.165743,31.379541
Aegislash,15.641124,2.8641434,24.708662
Mr. Mime,36.01693,18.56993,-6.3697214
Sylveon,24.970156,29.834421,0.9157185
Dragonite,31.934025,13.964989,9.9566965
Espeon,-7.356177,-2.1052885,-26.385643
Blastoise,15.055442,20.578789,2.5563276
Chandelure,10.188271,2.9954755,15.518449
Inteleon,33.674297,30.118773,-6.99681
Lucario,14.3957,-1.0029386,5.1888256
Cinderace,0.0122423265,8.87429,-4.013777
Snorlax,-6.4989834,13.468713,-12.056695
Mew,23.82438,6.8787074,-8.329056
Crustle,21.04777,9.359387,12.234787
Gardevoir,10.325214,1.7099559,-4.517419
Metagross,-5.623806,-16.506245,1.0960493
Dragapult,0.44829234,-3.3475559,18.149729
Talonflame,4.3470984,17.602926,-16.40017
Lapras,-2.0047402,-2.3460512,-1.1442041
Machamp,20.580608,-2.2828188,14.483049
Garchomp,-11.71895,-16.692364,12.102075
Mamoswine,14.858191,1.1593701,-14.640317
Tyranitar,35.357807,25.224543,4.0101037
Greedent,-24.412561,-21.072191,19.747107
Azumarill,-1.0027387,3.242913,9.761289
Venusaur,-11.539321,6.7852583,-21.12102
Decidueye,-28.964989,-7.6995244,-4.4471188
Gyarados,-0.7229708,-11.803181,26.777428
Hoopa,-10.96449,-19.68475,22.399902
Charizard,24.96343,23.347818,-9.1390705
Meowscarada,10.517284,-7.7559896,18.542477
Buzzwole,18.1685,9.637538,0.90264404
Goodra,10.557736,12.291681,9.085135
Greninja,-22.206778,-1.2454864,-9.748191
Blaziken,-7.1413355,-9.1652565,-8.186124
Dodrio,-10.872887,-6.797015,2.3180926
Scizor,7.9596457,2.5293672,-25.268066
Trevenant,0.10279487,-4.545454,-17.185686
Wigglytuff,22.21946,20.764002,12.05643
Armarouge,-17.078527,-10.992248,20.467535
Clefable,3.7530227,-10.428779,-4.515714
Tsareena,-27.37583,4.700538,-22.21229
Gengar,26.295698,2.7945845,3.7595918
Zeraora,14.336827,11.537643,-19.009287
Mewtwo X,-4.431583,-4.295211,34.331863
Zoroark,-0.1254147,-17.047949,-16.019243
Umbreon,-25.13063,-5.400216,-26.98219
Sableye,4.1683364,6.4491553,24.004183
Slowbro,-6.53542,2.268628,-11.940035
Absol,3.5309765,5.9505315,-15.509652
Pikachu,-16.37499,-5.2060437,-18.85019
Zacian,-32.457333,-19.208227,11.334548
Leafeon,13.329657,-13.908046,-18.092165
Mewtwo Y,-20.634703,4.1611857,17.059044
Comfey,10.658427,12.057206,-8.0004835
Ninetales,-26.670408,-11.321797,-14.604743
Ho-Oh,-9.257639,-1.480437,24.914125
Glaceon,-18.692703,-12.822978,-7.749824
Ceruledge,-9.701778,-2.4522274,13.224895
Miraidon,-20.55322,-21.827135,8.014777
Mimikyu,-15.739923,-17.023031,-26.663336
Urshifu,-22.580297,-12.074523,10.289446
Blissey,-32.67055,-2.0920627,-14.210755
Psyduck,-14.026859,-28.66793,-15.06484
Darkrai,-20.578514,-27.393858,-19.505524
Scyther,-11.203089,4.943168,-0.4888109
